x,y,z,r,p,y
-1.72946,-5.19746,0.0836716,76.6222,1.19798,-0.0443572
-1.74949,-5.2553,0.084624,76.5175,1.12129,-0.104206
-1.76326,-5.32354,0.0740824,76.3757,1.25847,-0.0603297
-1.78224,-5.38999,0.0854634,76.4121,1.18985,-0.0371374
-1.79964,-5.45735,0.0905638,76.4698,1.18428,0.0426522
-1.82101,-5.53678,0.0970293,76.5249,1.25842,0.410722
-1.84847,-5.62547,0.0904905,76.5155,1.33301,0.105428
-1.86515,-5.7186,0.10128,76.4661,1.105,0.00632886
-1.88797,-5.80842,0.110109,76.3482,1.15791,0.144377
-1.9107,-5.89451,0.111455,76.2878,1.08801,0.144749
-1.93135,-5.98608,0.104636,76.2649,1.12792,0.275617
-1.95473,-6.06808,0.109534,76.2438,1.03363,0.121057
-1.97458,-6.15226,0.115181,76.1387,0.979419,0.420198
-1.99661,-6.22325,0.1145,76.1657,0.93641,0.573577
-2.0166,-6.29605,0.116014,76.0266,0.95741,0.241096
-2.03219,-6.37201,0.116652,76.0122,0.865661,0.290339
-2.05212,-6.4479,0.114204,75.7823,0.922423,0.199777
-2.06784,-6.51871,0.111382,75.7854,0.866,0.444607
-2.08672,-6.58612,0.112252,75.8256,0.930756,0.22786
-2.10897,-6.66044,0.111327,75.6873,0.902209,0.220534
-2.12012,-6.72535,0.108895,75.6327,0.942733,0.311243
-2.13822,-6.79175,0.0975621,75.5887,1.13268,0.276583
-2.15263,-6.85604,0.100415,75.5622,0.994875,0.179816
-2.17874,-6.91902,0.104388,75.5109,0.960563,0.16236
-2.1961,-6.99457,0.109794,75.4854,0.957597,0.253996
-2.22012,-7.07996,0.115361,75.4722,0.971769,0.3245
-2.2426,-7.16065,0.115702,75.3736,1.03466,0.564745
-2.26334,-7.24533,0.106697,75.3485,1.03774,0.446758
-2.28473,-7.32769,0.107889,75.3171,0.987444,0.104949
-2.30408,-7.4068,0.110138,75.2365,0.877182,-0.0263213
-2.32761,-7.47571,0.115078,75.284,0.8697,0.303262
-2.34443,-7.55437,0.119511,75.2793,0.834898,0.244279
-2.36438,-7.62659,0.124067,75.2308,0.901436,0.38185
-2.38985,-7.70485,0.124308,75.2795,1.13917,0.637999
-2.40855,-7.78096,0.116655,75.2974,1.09196,0.494812
-2.43044,-7.85009,0.114244,75.2945,1.16041,0.274554
-2.4443,-7.91097,0.12267,75.2982,1.16514,0.428228
-2.4583,-7.97061,0.126189,75.1857,1.15405,0.137493
-2.46949,-8.03592,0.124591,75.3373,1.28168,0.392285
-2.4906,-8.09435,0.128053,75.3487,1.26968,0.426662
-2.50728,-8.1586,0.127281,75.3508,1.34475,0.568127
-2.53041,-8.22563,0.130128,75.3089,1.25752,0.402712
-2.54695,-8.29523,0.120324,75.3858,1.19615,0.312133
-2.56557,-8.36306,0.124036,75.2828,1.12733,0.285922
-2.58047,-8.42394,0.124157,75.2402,1.07074,0.250771
-2.59878,-8.47888,0.126381,75.2488,1.11135,0.25084
-2.61342,-8.54161,0.122257,75.3041,1.09761,0.370929
-2.62798,-8.60102,0.123359,75.0965,1.00165,0.0921541
-2.63831,-8.65307,0.127683,74.9999,1.03221,0.227842
-2.65579,-8.70622,0.129821,74.7933,0.916968,0.156859
-2.66902,-8.76649,0.127466,74.5732,0.978857,0.149834
-2.68868,-8.81368,0.128213,74.462,0.878961,0.115699
-2.70168,-8.86082,0.130772,74.5241,0.921148,0.248029
-2.72007,-8.91083,0.136403,74.5262,0.859829,0.393494
-2.73663,-8.95404,0.136282,74.4811,0.954925,0.433906
-2.74692,-8.9984,0.123369,74.5303,1.16035,0.412541
-2.75077,-9.03967,0.128152,74.5946,1.03167,0.347747
-2.76564,-9.08382,0.129516,74.7019,1.04347,0.443813
-2.77039,-9.12429,0.134603,74.6935,0.88179,0.271233
-2.78321,-9.16768,0.143888,74.5707,0.882229,0.379579
-2.79607,-9.2073,0.145737,74.3385,0.898724,0.435769
-2.81232,-9.2456,0.145873,74.0496,0.908646,0.4232
-2.82295,-9.28194,0.146496,73.9936,0.946417,0.639385
-2.83319,-9.31406,0.144392,73.9667,0.89352,0.607354
-2.84734,-9.3534,0.130396,73.9933,1.0075,0.415134
-2.85753,-9.3801,0.134482,73.9369,0.95951,0.594704
-2.86528,-9.40634,0.140712,73.9567,0.824585,0.496168
-2.87372,-9.42747,0.141609,73.968,0.959322,0.579775
-2.87469,-9.4531,0.140265,74.1269,0.875008,0.445591
-2.88388,-9.48481,0.144507,74.2825,0.895272,0.554091
-2.89332,-9.51812,0.144231,74.4788,0.816296,0.435848
-2.902,-9.55543,0.132514,74.7303,1.0012,0.479107
-2.91039,-9.59023,0.138908,74.9777,0.846746,0.484252
-2.91653,-9.62915,0.129255,74.987,0.924317,0.259454
-2.93174,-9.65939,0.137914,74.7796,0.887098,0.267041
-2.93557,-9.69056,0.136197,74.6204,0.894392,0.205197
-2.94551,-9.72242,0.136981,74.5247,0.863437,0.209921
-2.95154,-9.74751,0.142787,74.6406,0.834046,0.260105
-2.95879,-9.76953,0.144967,74.9127,0.837728,0.224072
-2.96658,-9.79255,0.147487,75.0386,0.866596,0.406278
-2.97194,-9.81359,0.144029,75.1682,0.843157,0.164353
-2.98285,-9.8401,0.141436,75.0202,0.892669,0.360413
-2.98863,-9.86477,0.140425,74.7514,0.905631,0.0922091
-2.99893,-9.90097,0.139347,74.5765,0.952945,0.324421
-3.0089,-9.92549,0.142678,74.5128,0.966985,0.285411
-3.01562,-9.95117,0.128156,74.8245,1.06399,0.127942
-3.01609,-9.96658,0.13666,74.9151,0.980782,0.282224
-3.02119,-9.99195,0.139105,75.14,0.971792,0.106477
-3.0263,-10.0161,0.139651,75.3942,1.01953,0.0535205
-3.03618,-10.0426,0.130694,75.6594,1.07589,0.272904
-3.0428,-10.0687,0.135992,75.9346,1.02505,0.221428
-3.05054,-10.0892,0.143704,76.1601,0.990305,0.128325
-3.05274,-10.1052,0.142658,76.3853,1.11388,0.432005
-3.05332,-10.1195,0.147368,76.5805,1.0294,0.33633
-3.05406,-10.1363,0.151934,76.8892,1.03247,0.289555
-3.05876,-10.1499,0.152667,77.1527,1.17943,0.39579
-3.05796,-10.1661,0.149454,77.4481,1.1771,0.344288
-3.06212,-10.1863,0.146482,77.7878,1.14054,0.342381
-3.06735,-10.2051,0.145928,78.0393,1.158,0.348317
-3.07102,-10.2198,0.132383,78.2986,1.20974,0.0803634
-3.06968,-10.2302,0.130639,78.5558,1.13523,0.0468278
-3.07302,-10.2382,0.130563,78.6917,1.225,0.0995661
-3.07875,-10.243,0.13169,78.8842,1.10818,0.255309
-3.08352,-10.2576,0.121262,79.1139,1.27031,0.10439
-3.08689,-10.2707,0.129547,79.3988,1.20921,0.239083
-3.0936,-10.2825,0.120676,79.8056,1.33026,0.185757
-3.09094,-10.2873,0.131272,79.9742,1.16794,0.152902
-3.09536,-10.2958,0.141661,80.234,1.16779,0.272694
-3.09867,-10.3044,0.134569,80.4576,1.26982,0.43338
-3.09755,-10.3177,0.136261,80.5621,1.13421,0.0340879
-3.09396,-10.3296,0.141362,80.7234,1.12937,0.207878
-3.09713,-10.3389,0.145504,80.6912,1.12721,0.137352
-3.10113,-10.3457,0.145205,80.8292,1.13122,0.358093
-3.09789,-10.3488,0.143847,80.9269,1.08538,0.268196
-3.09883,-10.3556,0.140433,80.9642,1.15331,0.335313
-3.10054,-10.3648,0.141772,80.979,1.07667,0.250244
-3.10201,-10.3784,0.132851,80.9328,1.22797,0.315672
-3.10274,-10.3905,0.137907,80.6619,1.13694,0.145933
-3.10618,-10.4015,0.142373,80.3876,1.14223,0.222644
-3.11131,-10.4056,0.143627,79.8029,1.1342,0.314775
-3.10642,-10.3981,0.14179,78.4868,1.12668,0.112075
-3.10635,-10.3954,0.128834,76.1817,1.24367,0.0245349
-3.10258,-10.3935,0.137924,73.8676,1.06055,0.101927
-3.10293,-10.3921,0.145993,72.2655,1.08742,0.24622
-3.10467,-10.3948,0.146876,70.5967,0.997079,-0.118694
-3.10781,-10.3937,0.15324,68.9458,1.07373,0.0878292
-3.11037,-10.3938,0.158196,67.2378,1.0213,0.0644133
-3.11207,-10.3953,0.144281,65.394,1.24215,0.138493
-3.11164,-10.3902,0.152644,63.7166,0.965949,-0.0462654
-3.10379,-10.3938,0.154197,62.1548,0.837556,-0.210935
-3.10974,-10.3929,0.159358,60.4039,0.913104,0.00103363
-3.10705,-10.3909,0.166104,58.7981,0.821572,-0.201725
-3.10712,-10.3929,0.166043,57.0585,0.793887,-0.27191
-3.11083,-10.3891,0.169998,55.4153,0.791457,-0.0618999
-3.11262,-10.3904,0.152623,53.7271,1.08859,-0.0399112
-3.10977,-10.3883,0.163702,51.9645,0.782803,-0.0352851
-3.10866,-10.3883,0.170578,50.3513,0.623367,-0.305394
-3.10582,-10.3825,0.171553,48.6679,0.553089,-0.286352
-3.1087,-10.383,0.171673,46.8905,0.639015,-0.0684673
-3.1085,-10.3797,0.170765,45.1377,0.538135,-0.226174
-3.10893,-10.3784,0.1687,43.4896,0.473445,-0.217136
-3.10784,-10.3788,0.168152,41.8074,0.43755,-0.378799
-3.10907,-10.3879,0.149935,40.1496,0.822466,-0.230461
-3.10678,-10.3889,0.155244,38.5543,0.319791,-0.380185
-3.10939,-10.3933,0.160269,36.78,0.293284,-0.216447
-3.11391,-10.3994,0.144382,35.2081,0.952923,-0.123073
-3.11448,-10.3943,0.156195,33.4911,0.34119,-0.193854
-3.12029,-10.4001,0.140037,31.8719,0.835961,-0.270722
-3.1146,-10.3988,0.154681,30.0664,0.10455,-0.454347
-3.11042,-10.4088,0.166852,28.4951,0.178212,-0.238982
-3.11133,-10.4075,0.151938,26.7744,0.511012,-0.399773
-3.11068,-10.4008,0.160946,25.0272,0.150523,-0.289522
-3.11148,-10.3916,0.167747,23.3197,0.228057,-0.188614
-3.1154,-10.3874,0.169411,21.5896,0.218357,-0.232752
-3.11861,-10.3794,0.170505,19.9308,0.395717,-0.178168
-3.12364,-10.3765,0.166996,18.1896,0.423153,-0.167181
-3.1243,-10.3658,0.164738,16.5387,0.297063,-0.137779
-3.11769,-10.3617,0.158901,14.7424,0.140247,-0.111807
-3.11983,-10.3594,0.15793,13.1061,0.528847,-0.0452417
-3.11952,-10.3641,0.152973,11.4888,0.475308,-0.0278895
-3.11921,-10.3635,0.148582,10.1678,0.568373,-0.00987599
-3.12447,-10.374,0.129923,10.4215,1.04991,-0.457659
-3.1188,-10.3771,0.13669,10.4859,0.409756,-0.0422494
-3.1148,-10.3809,0.144496,10.5103,0.493221,0.0066993
-3.11646,-10.3965,0.155258,10.5669,0.619427,0.0342273
-3.11977,-10.4056,0.162255,10.5901,0.867776,0.122224
-3.12667,-10.4095,0.147222,10.5568,1.06981,-0.354346
-3.12314,-10.4048,0.153098,10.6496,0.63325,0.00082732
-3.11973,-10.4096,0.161934,10.6095,0.600898,-0.050678
-3.12327,-10.4098,0.147071,10.5725,1.02814,-0.283946
