x,y,z,r,p,y
-1.45868,1.09684,0.025867,85.7577,0.730154,-0.0232046
-1.45958,1.09853,0.0254908,85.7546,0.774145,0.0284453
-1.45975,1.09802,0.0249611,85.7208,0.720413,0.0194405
-1.46134,1.09762,0.0246008,85.7342,0.728351,0.0385855
-1.45919,1.09401,0.0249609,85.7142,0.763879,-0.173097
-1.45881,1.09352,0.0241765,85.7317,0.784512,0.074794
-1.46009,1.09343,0.0241781,85.7531,0.78028,0.0125733
-1.46028,1.09379,0.0239501,85.7233,0.736417,0.0906997
-1.4597,1.09293,0.0229585,85.7159,0.789938,0.0690416
-1.45838,1.09412,0.0256514,85.7177,0.686853,-0.187777
-1.45882,1.0932,0.0247802,85.7164,0.753278,0.0269034
-1.45775,1.09465,0.0252567,85.697,0.736854,0.0256984
-1.4574,1.0981,0.0261615,85.6894,0.672505,0.00721801
-1.45757,1.09777,0.0265941,85.7066,0.720685,0.0844108
-1.45829,1.09641,0.0260677,85.7107,0.748319,0.0420544
-1.45663,1.09427,0.0274396,85.6797,0.749549,-0.151601
-1.45651,1.09473,0.0249217,85.6817,0.785412,0.0933845
-1.45676,1.09022,0.0266651,85.8098,0.751822,-0.257472
-1.45643,1.07518,0.0262638,86.2749,0.968167,0.129998
-1.46032,1.03451,0.0235876,87.0498,1.29806,0.0709557
-1.45755,0.967429,0.0227679,87.5428,1.48772,0.430685
-1.46259,0.87673,0.0238126,88.2237,1.46117,0.15736
-1.47028,0.773579,0.0270293,88.6834,1.30696,0.51292
-1.47854,0.681549,0.0296658,89.1902,1.19422,0.540176
-1.47554,0.600938,0.0269547,89.5089,1.3456,0.276236
-1.48312,0.520691,0.029643,90.0169,1.2813,0.504987
-1.48231,0.441018,0.0324142,90.5654,1.22009,0.633587
-1.4837,0.359678,0.0341192,90.8615,1.09973,0.539125
-1.48086,0.285179,0.0364345,91.234,1.02037,0.684539
-1.47539,0.21107,0.0357518,91.4334,1.04162,0.698533
-1.47395,0.135103,0.0399532,91.6321,0.84445,0.641597
-1.47128,0.0579806,0.0434131,91.9833,0.923186,0.695857
-1.46379,-0.0185968,0.0394338,92.2103,1.14421,0.222642
-1.4662,-0.0969893,0.0416047,92.4581,0.943946,0.553764
-1.46283,-0.167149,0.046678,92.5314,0.885696,0.720989
-1.46102,-0.235108,0.047052,92.7931,0.828683,0.690896
-1.44932,-0.307072,0.041215,92.9708,1.02175,0.196671
-1.45366,-0.380059,0.0412496,93.2284,0.936249,0.691937
-1.44747,-0.459825,0.0429889,93.6089,1.01734,0.884459
-1.44123,-0.551665,0.0384154,93.8465,1.11669,0.215608
-1.43526,-0.63888,0.0438271,94.0701,0.931068,0.893093
-1.428,-0.715256,0.0394834,94.1662,1.12862,0.238956
-1.42445,-0.786308,0.0464856,94.3239,1.0077,0.867565
-1.41472,-0.862464,0.0435252,94.3954,1.21594,0.16412
-1.41213,-0.940327,0.051509,94.4256,1.04639,0.965608
-1.41433,-1.01993,0.0569492,94.4686,0.982895,0.93411
-1.40757,-1.09442,0.0617911,94.4597,1.04892,1.20551
-1.40578,-1.16771,0.0648035,94.432,0.995661,1.15646
-1.39901,-1.23212,0.0653696,94.5099,1.13978,1.22149
-1.39315,-1.30511,0.0595961,94.4435,1.35063,0.456248
-1.38748,-1.37361,0.0616456,94.373,1.21999,1.09355
-1.37852,-1.45073,0.0532504,94.2997,1.40764,0.244805
-1.37642,-1.52099,0.0590818,94.107,1.16751,1.15931
-1.37268,-1.59936,0.0641514,93.7611,1.16979,1.15346
-1.36874,-1.67788,0.0674753,93.4378,1.09541,1.18941
-1.36764,-1.75509,0.0720559,93.0983,1.04326,1.21701
-1.3646,-1.82495,0.074534,92.6592,1.04092,1.18047
-1.35597,-1.89443,0.066246,92.2952,1.29802,0.587609
-1.36168,-1.96597,0.072317,91.8568,0.98974,1.19064
-1.36004,-2.0376,0.0740147,91.4707,0.952613,1.32069
-1.35868,-2.11036,0.0652765,91.0917,1.23551,0.332347
-1.35475,-2.17739,0.0713492,90.6456,1.10216,1.23979
-1.3601,-2.25201,0.072657,90.2551,1.04881,1.14708
-1.35754,-2.33015,0.0794707,89.9115,1.03897,1.24679
-1.35633,-2.40717,0.0730882,89.5546,1.30898,0.347519
-1.35929,-2.48208,0.0804634,89.1529,1.0984,1.13533
-1.36423,-2.55759,0.0852868,88.7336,1.09222,1.14832
-1.36662,-2.63466,0.0880468,88.3507,1.0015,1.13808
-1.36908,-2.70777,0.0897973,87.9874,1.07907,1.15696
-1.36915,-2.78903,0.0830956,87.6533,1.25191,0.372626
-1.3738,-2.86914,0.088268,87.3049,1.05455,1.0361
-1.3793,-2.95118,0.0893525,86.9223,1.08131,1.06735
-1.38484,-3.03726,0.0913794,86.4406,1.03702,1.02488
-1.39291,-3.11665,0.0933221,86.0941,1.05714,1.07362
-1.39956,-3.19189,0.094112,85.6468,1.1593,0.989667
-1.40117,-3.27192,0.0846498,85.4515,1.38091,0.0711107
-1.41117,-3.34908,0.0878186,84.9009,1.30067,0.648086
-1.4151,-3.43013,0.0924038,84.5155,1.30791,0.772431
-1.42243,-3.50667,0.0935987,84.1387,1.29539,0.607104
-1.42887,-3.58029,0.092217,83.7333,1.27818,0.466854
-1.43732,-3.66056,0.0819887,83.3315,1.48341,0.103548
-1.44575,-3.73319,0.0829492,82.9172,1.41846,0.253568
-1.45252,-3.79931,0.0857525,82.5696,1.39725,0.159578
-1.46055,-3.86635,0.0882309,82.1845,1.43205,0.154313
-1.47228,-3.9378,0.0905972,81.806,1.38123,0.00475156
-1.48121,-4.01634,0.0935146,81.4481,1.36904,0.00124492
-1.49757,-4.09553,0.0956152,80.9929,1.34105,0.0707459
-1.50978,-4.17027,0.0947955,80.5893,1.32109,0.0238821
-1.51952,-4.24472,0.0931292,80.1887,1.35559,-0.182247
-1.53333,-4.319,0.0918936,79.8297,1.41948,-0.301878
-1.54519,-4.38274,0.0958407,79.5098,1.37725,0.00318087
-1.56472,-4.45073,0.0960234,79.2354,1.30071,-0.0413716
-1.57675,-4.5208,0.0981719,79.0054,1.24728,0.0810274
-1.60057,-4.58722,0.0901618,78.8274,1.30807,-0.0123323
-1.6125,-4.64872,0.0921238,78.484,1.26399,0.510158
-1.63057,-4.70765,0.0964991,78.2296,1.22586,0.288717
-1.64103,-4.76944,0.100465,77.9702,1.10972,0.479489
-1.65724,-4.83335,0.103232,77.6922,1.07951,0.214803
-1.66607,-4.90642,0.0936814,77.4726,1.27287,-0.046901
-1.68359,-4.98119,0.0943755,77.1321,1.12041,0.0255954
-1.69115,-5.05966,0.0957036,76.9526,0.991807,-0.321705
-1.71352,-5.13251,0.0869829,76.7439,1.19052,-0.0424477
-1.73076,-5.19609,0.0869726,76.5813,1.10997,-0.066031
-1.74626,-5.26062,0.0787306,76.4122,1.23726,-0.0701671
-1.76091,-5.32491,0.0863339,76.4094,1.14643,0.0631667
-1.7811,-5.38981,0.0900576,76.4225,1.17595,0.0489496
-1.80205,-5.46143,0.094558,76.5466,1.21059,0.345526
-1.82221,-5.54255,0.0901117,76.5513,1.3108,0.182464
-1.84396,-5.62976,0.0982688,76.502,1.16337,-0.029017
-1.8655,-5.72395,0.105525,76.4168,1.13685,0.136476
-1.88667,-5.80938,0.107801,76.3068,1.13211,0.212359
-1.91023,-5.89903,0.103862,76.3072,1.17156,0.239083
-1.93154,-5.98137,0.107763,76.3335,1.05249,0.0880675
-1.9542,-6.06713,0.112523,76.1407,1.05902,0.373794
-1.97594,-6.14791,0.112635,76.2569,0.965584,0.555269
-1.9947,-6.22325,0.1144,76.0509,0.955361,0.339893
-2.01487,-6.29519,0.115227,76.0773,0.905246,0.233841
-2.03041,-6.37094,0.113963,75.8901,0.943509,0.263266
-2.0511,-6.4437,0.11209,75.8546,0.906086,0.41654
-2.06935,-6.51571,0.112616,75.9032,0.869254,0.205939
-2.08846,-6.58937,0.112059,75.7245,0.890866,0.29761
-2.10802,-6.65832,0.110144,75.6958,0.919277,0.145951
-2.11875,-6.72918,0.101825,75.6905,1.10795,0.369411
-2.13905,-6.79092,0.102727,75.5689,0.991031,0.0962147
-2.15583,-6.85367,0.105146,75.5919,0.945382,0.266007
-2.17807,-6.92097,0.108863,75.5139,0.989908,0.216017
-2.19779,-7.00195,0.113183,75.5515,0.940275,0.342295
-2.22063,-7.08245,0.113866,75.3373,1.0792,0.613771
-2.24378,-7.16691,0.107719,75.3994,1.05814,0.412436
-2.26313,-7.24872,0.108405,75.3109,0.990596,0.149156
-2.28455,-7.32508,0.109438,75.29,0.938863,-0.0908454
-2.30601,-7.39964,0.113775,75.3141,0.850474,0.305934
-2.32515,-7.47632,0.117368,75.3028,0.837416,0.218711
-2.3457,-7.55392,0.121293,75.26,0.785843,0.306986
-2.36762,-7.62962,0.121979,75.2413,1.08989,0.690802
-2.3894,-7.70392,0.116896,75.3159,1.06962,0.405042
-2.40654,-7.77903,0.11485,75.3034,1.08855,0.410197
-2.43045,-7.84662,0.121134,75.2839,1.1107,0.294321
-2.43808,-7.90884,0.123602,75.2155,1.11595,0.249598
-2.45668,-7.97017,0.123504,75.2952,1.23754,0.309364
-2.47011,-8.03054,0.126586,75.3849,1.21215,0.507947
-2.49294,-8.09365,0.126214,75.3071,1.31292,0.469636
-2.50859,-8.16064,0.128534,75.2656,1.32547,0.516254
-2.53252,-8.22651,0.121451,75.4096,1.27433,0.177179
-2.54426,-8.29884,0.12422,75.3214,1.16498,0.39278
-2.56671,-8.36369,0.124239,75.2,1.11885,0.200179
-2.58087,-8.42119,0.125705,75.2608,1.09678,0.286275
-2.59684,-8.47961,0.123076,75.3244,1.18933,0.358821
-2.61152,-8.54358,0.124402,75.2218,1.02448,0.144728
-2.62718,-8.60063,0.127351,75.1811,1.02332,0.166148
-2.63855,-8.65355,0.129119,75.0176,0.95408,0.231079
-2.65601,-8.70937,0.127089,74.7931,1.03346,0.0708584
